bullwaves_user,bullwaves_id,from_affiliate_id,to_affiliate_id,comment,created_on,created_by,admin_only,affiliateid
,,2287,35060,"User moonance-2264 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/5/2024 2:34:59 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2130 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/29/2023 10:28:41 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2185 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/29/2023 10:27:44 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2194 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/29/2023 10:27:21 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2143 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/21/2023 6:20:46 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2061 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/14/2023 11:59:33 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2015 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/7/2023 4:33:43 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2013 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/7/2023 9:22:22 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1999 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/5/2023 11:56:38 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1986 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/4/2023 8:12:17 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1995 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/4/2023 8:09:34 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1964 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/1/2023 10:55:22 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1985 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",12/1/2023 10:54:59 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1947 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/27/2023 8:51:12 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1582 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/13/2023 10:45:43 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1589 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/13/2023 10:44:04 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1490 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/7/2023 10:12:13 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1486 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/6/2023 3:06:17 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1457 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/3/2023 3:16:22 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1459 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/3/2023 3:14:37 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1463 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/3/2023 3:13:40 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1465 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",11/3/2023 3:11:31 PM,Partners,Yes,35060
,,2287,35060,"User moonance-75 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",10/20/2023 9:14:27 AM,Partners,Yes,35060
,,2287,35061,"User moonance-806 was moved from affiliate 2287 to  affiliate 35061  With settings : Move media report stats , Move pre calculated commissions",10/17/2023 10:38:22 AM,Partners,Yes,35061
,,2287,35061,"User moonance-959 was moved from affiliate 2287 to  affiliate 35061  With settings : Move media report stats , Move pre calculated commissions",10/17/2023 10:37:55 AM,Partners,Yes,35061
,,2287,35060,"User moonance-1379 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",10/16/2023 8:18:20 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1371 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",10/13/2023 11:34:31 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1369 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",10/12/2023 12:33:16 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1365 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",10/11/2023 5:31:43 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1325 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",10/4/2023 9:51:12 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1321 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",10/3/2023 8:20:05 AM,Partners,Yes,35060
,,2287,35060,"User moonance-1287 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",9/29/2023 3:25:05 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1302 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",9/28/2023 7:18:33 PM,Partners,Yes,35060
,,2287,35060,"User moonance-1299 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",9/28/2023 3:20:48 PM,Partners,Yes,35060
