user_id,accounts_count,accounts,has_ftd,has_qftd
bullwaves-810961,1,3004017,0,0
bullwaves-810908,1,3004016,0,0
bullwaves-810901,1,2001028,1,0
bullwaves-810894,1,3004015,0,0
bullwaves-810884,1,3004014,0,0
bullwaves-810873,1,2001023,1,0
bullwaves-810869,1,3004013,0,0
bullwaves-810819,1,3004011,0,0
bullwaves-810800,1,"3004010,3004012",0,0
bullwaves-810789,1,3004009,0,0
bullwaves-810785,1,3004008,0,0
bullwaves-810756,1,3004007,0,0
bullwaves-810739,1,3004006,0,0
bullwaves-810735,1,3004005,0,0
bullwaves-810730,1,,0,0
bullwaves-810720,1,3004004,0,0
bullwaves-810707,1,,0,0
bullwaves-810683,1,3004003,0,0
bullwaves-810658,1,3004002,0,0
bullwaves-810644,1,3004001,0,0
bullwaves-810634,1,2001022,0,0
bullwaves-810610,1,3004000,0,0
bullwaves-810593,1,3003999,0,0
bullwaves-810588,1,3003998,1,1
bullwaves-810584,1,3003997,0,0
bullwaves-810556,1,3003996,0,0
bullwaves-810533,1,3003995,1,0
bullwaves-810514,1,3003993,0,0
bullwaves-810520,1,3003994,1,0
bullwaves-810507,1,3003992,1,0
bullwaves-810505,1,3003991,0,0
bullwaves-810502,1,3003990,1,0
bullwaves-810491,1,3003989,1,0
bullwaves-810487,1,2001021,0,0
bullwaves-810483,1,3003988,0,0
bullwaves-810452,1,3003986,1,0
bullwaves-810465,1,3003987,1,0
bullwaves-810440,1,3003984,0,0
bullwaves-810397,1,3003983,0,0
bullwaves-810363,1,3003981,1,0
bullwaves-810378,1,3003982,1,0
bullwaves-810331,1,3003978,1,0
bullwaves-810333,1,3003980,1,0
bullwaves-810301,1,3003975,0,0
bullwaves-810299,1,"2001019,2001020",0,0
bullwaves-810280,1,3003974,1,1
bullwaves-810264,1,3003972,1,0
bullwaves-810268,1,2001018,1,0
bullwaves-810272,1,3003973,1,0
bullwaves-810251,1,3003971,0,0
bullwaves-810227,1,3003969,0,0
bullwaves-810230,1,3003970,0,0
bullwaves-810214,1,3003968,1,0
bullwaves-810176,1,3003967,0,0
