month,affiliate,country,impressions,unique_impressions,ctr,unique_visitors,visitors,leads,registrations,conversion_rate,ftd,qftd,deposits,withdrawals,net_deposits,first_deposits,spread,lot,volume,pl,roi,commission,cpa_commission,cpl_commission,revshare_commission,sub_commission,other_commission,ecpa,ecpl,chargeback_count,chargeback_amount,uid
6/2025,theforexcomplex,United States,0,0,0.00%,5,10,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16035
6/2025,masternl,Ethiopia,0,0,0.00%,1,4,1,1,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16037
6/2025,Mertyoz,Pakistan,0,0,0.00%,3,8,4,4,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16049
6/2025,rayanlewiis,United States,0,0,0.00%,38,46,2,2,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16052
6/2025,forexero,Brazil,0,0,0.00%,1,1,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16057
6/2025,ajmudronja,Trinidad and Tobago,0,0,0.00%,1,1,1,1,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16067
6/2025,dovyfx,Serbia,0,0,0.00%,3,3,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16131
6/2025,masternl,Serbia,0,0,0.00%,2,2,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16134
6/2025,melofx,Netherlands,0,0,0.00%,7,7,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16159
6/2025,Mertyoz,Indonesia,0,0,0.00%,3,4,2,2,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16164
6/2025,jonathanvareymitchell,Malawi,0,0,0.00%,1,1,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16173
6/2025,Mertyoz,Uzbekistan,0,0,0.00%,1,1,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16188
6/2025,WealthWave,Unknown Country,0,0,0.00%,0,0,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,"1,100.00","1,100.00",0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16196
6/2025,melofx,Norway,0,0,0.00%,1,1,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16198
6/2025,fabi69,Cyprus,0,0,0.00%,0,0,0,0,0.00%,0,0,531.00,0.00,531.00,0.00,591.9729,5.3800,"53,800.0000",714.8562,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16260
6/2025,Saix004,Italy,0,0,0.00%,257,"1,022",130,130,72.31%,94,84,"38,088.00","-13,547","24,541.00","33,599.49","841,457.8291",365.6200,"3,656,200.0000","3,466.7412",0.99,"24,900.00","25,200.00",0.00,0.00,0.00,-300,264.89,191.54,1,-300,16270
6/2025,Mertyoz,Montenegro,0,0,0.00%,1,4,1,1,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16276
6/2025,snipetrading,Uganda,0,0,0.00%,2,2,1,1,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16279
6/2025,Default Affiliate,Jamaica,0,0,0.00%,0,0,1,1,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16294
6/2025,dovyfx,Azerbaijan,0,0,0.00%,1,1,1,1,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16330
6/2025,fxnltrading,Poland,0,0,0.00%,1,3,0,0,0.00%,0,0,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,16354
